Continent,Year,Average Energy Inflation,Average Food Inflation,Average Headline Inflation,Average Official Core Inflation,Average Producer Inflation
Africa,1999,6.038181818181819,3.926181818181818,14.166363636363636,-0.05363636363636362,0.18181818181818182
Africa,2000,5.024909090909091,3.788909090909091,21.443818181818184,0.2545454545454545,0.32090909090909087
Africa,2001,6.070545454545455,5.710181818181818,13.748,0.3218181818181818,0.35
Africa,2002,3.773636363636364,7.494909090909092,6.869272727272727,0.46399999999999997,0.2716363636363636
Africa,2003,4.414727272727273,11.751454545454544,7.20309090909091,0.6920000000000001,0.15763636363636363
Africa,2004,3.2067272727272726,10.640363636363636,8.07090909090909,0.6165454545454545,0.26072727272727275
Africa,2005,4.630181818181818,11.137818181818183,6.668363636363636,0.5938181818181818,0.45418181818181813
Africa,2006,5.980181818181817,25.53709090909091,7.0110909090909095,1.0036363636363637,0.39654545454545453
Africa,2007,5.349818181818182,141.13054545454546,4.9390909090909085,0.8376363636363636,0.3494545454545455
Africa,2008,7.336545454545455,148.17127272727274,14.182545454545453,1.3367272727272728,2.090909090909091
Africa,2009,3.3716363636363638,8.046727272727273,7.683272727272727,1.0503636363636364,-0.20199999999999999
Africa,2010,3.853818181818182,4.9123636363636365,5.110363636363636,0.8360000000000001,1.2207272727272727
Africa,2011,4.258545454545454,7.615454545454546,7.1347272727272735,1.1800000000000002,1.5643636363636362
Africa,2012,4.812363636363637,7.1178181818181825,7.812181818181818,1.4787272727272727,0.7952727272727274
Africa,2013,3.255272727272727,4.589818181818182,5.243818181818182,1.5676363636363637,0.7781818181818183
Africa,2014,4.326727272727273,3.4036363636363633,4.869999999999999,1.7783636363636364,1.0476363636363637
Africa,2015,4.7727272727272725,4.770181818181818,5.646909090909091,1.4794545454545456,0.8227272727272728
Africa,2016,4.557454545454545,6.276,13.111636363636363,1.5914545454545455,2.1025454545454547
Africa,2017,4.877818181818182,7.321272727272728,10.20890909090909,2.002727272727273,2.1896363636363634
Africa,2018,5.242181818181818,4.0947272727272725,7.5049090909090905,2.018181818181818,1.6283636363636365
Africa,2019,5.433272727272728,6.16309090909091,10.286,1.5230909090909093,1.3330909090909093
Africa,2020,10.510363636363635,17.21727272727273,326.67436363636364,3.7016363636363634,0.16181818181818183
Africa,2021,13.343272727272728,12.175818181818181,14.504181818181818,7.272181818181818,2.9192727272727272
Africa,2022,14.04018181818182,13.062909090909091,17.227272727272727,1.4127272727272728,4.432363636363636
Asia,1970,2.188,3.6979999999999995,5.3536,0.24035010824,0.7417999999999999
Asia,1971,1.1481999999999999,5.458600000000001,6.291,0.4632,0.2698
Asia,1972,2.0138,6.204199999999999,6.5806,0.8772,0.7272
Asia,1973,2.5516,14.9648,13.914200000000001,1.4458000000000002,1.6998000000000002
Asia,1974,8.4706,19.2014,20.6346,1.9692,3.3487999999999998
Asia,1975,4.8304,8.8574,9.6524,1.2368000000000001,0.5823999999999999
Asia,1976,3.7972,4.096,7.416,1.3346,0.5801999999999999
Asia,1977,3.0527999999999995,5.6068,8.9558,1.1096000000000001,0.7081999999999999
Asia,1978,2.7444,4.7796,6.5456,1.4652,1.4686
Asia,1979,5.955,5.9639999999999995,9.1662,2.2904,3.1642
Asia,1980,11.782,11.4022,16.8954,3.3184000000000005,5.4836
Asia,1981,9.218,8.264,11.485199999999999,3.0418000000000003,3.5374
Asia,1982,7.1314,7.3384,11.772,2.3496,2.5746
Asia,1983,6.0363999999999995,6.8804,10.2212,3.0263999999999998,2.9758
Asia,1984,12.745,12.6724,14.856200000000001,7.4898,8.0224
Asia,1985,9.523600000000002,9.4174,15.2048,6.0668,5.315999999999999
Asia,1986,1.7758,4.9702,16.576,0.9945999999999999,0.5128
Asia,1987,6.368200000000001,15.711999999999998,23.0152,0.7782000000000001,1.2552
Asia,1988,8.8348,9.6736,18.6208,0.591,2.1922
Asia,1989,10.3476,10.064,13.984000000000002,0.6988,2.1031999999999997
Asia,1990,8.476,10.235,13.388600000000002,0.6412,1.4974
Asia,1991,10.8954,16.037,23.335,1.082,2.3002
Asia,1992,94.34620000000001,68.6656,124.9944,0.6006,18.1378
Asia,1993,123.835,67.1482,359.8054,0.5622,17.2136
Asia,1994,75.121,176.9866,587.3736,2.8596,87.6362
Asia,1995,77.4836,36.6788,74.81060000000001,1.7792,10.005999999999998
Asia,1996,22.7062,9.2746,40.2162,2.1104,10.8072
Asia,1997,15.8096,7.1042000000000005,13.796199999999999,2.1424,5.5012
Asia,1998,6.63,10.060200000000002,11.9794,2.2202,3.6526
Asia,1999,6.2538,7.0416,9.750399999999999,1.6148000000000002,4.2242
Asia,2000,5.531999999999999,1.7236000000000002,4.8986,1.3818000000000001,4.5004
Asia,2001,3.1848,3.6346,5.3374,1.3428,2.4446
Asia,2002,4.0238,4.7142,6.8704,1.198,1.694
Asia,2003,2.4459999999999997,4.1284,5.9308000000000005,0.7078,2.4392
Asia,2004,13.846999999999998,4.67,5.2718,1.0204,3.6648
Asia,2005,7.7307999999999995,5.059,6.062200000000001,1.5936000000000001,2.9192
Asia,2006,10.137599999999999,6.4146,7.2708,1.7731999999999999,3.8682
Asia,2007,8.0456,7.8612,7.5402,1.821,2.9812
Asia,2008,6.4764,14.103800000000001,11.4016,2.9301999999999997,7.1882
Asia,2009,1.7482,3.7365999999999997,3.1028000000000002,1.0636,-2.326
Asia,2010,3.5186,4.7886,5.2762,2.1046,5.66
Asia,2011,3.7388,6.0876,6.9808,3.071,6.4952
Asia,2012,3.4978,4.0956,6.061800000000001,2.978,2.1506
Asia,2013,3.1344,4.4239999999999995,7.141800000000001,3.7866000000000004,0.7546
Asia,2014,2.8926,3.4418,4.7606,2.7672000000000003,0.8009999999999999
Asia,2015,2.7468,2.9463999999999997,4.1986,1.6032,-3.0542000000000002
Asia,2016,1.3991999999999998,1.9386,3.3132,1.2595999999999998,0.25839999999999996
Asia,2017,2.3174,3.1586000000000003,3.9644,1.4858000000000002,5.1617999999999995
Asia,2018,2.74,3.0189999999999997,4.0962,1.775,5.6628
Asia,2019,1.9409999999999998,3.9398,3.7258,1.8232,1.8625999999999998
Asia,2020,1.2380000000000002,9.8664,5.5818,1.6724,-1.2701999999999998
Asia,2021,3.7722,11.623199999999999,8.8744,2.5488,9.4486
Asia,2022,9.293000000000001,17.2732,13.7334,3.286,15.677
